Fiscal_Year,Province_Territory,Age_Group,Sex,Number_of_Discharges,Total_Length_of_Stay_Days,Average_Length_of_Stay_Days
2023–2024,Newfoundland and Labrador,00–04,All,1011.0,3845.0,3.803165182987141
2023–2024,Newfoundland and Labrador,00–04,Female,431.0,1642.0,3.809744779582366
2023–2024,Newfoundland and Labrador,00–04,Male,580.0,2203.0,3.798275862068965
2023–2024,Newfoundland and Labrador,05–09,All,550.0,1862.0,3.385454545454545
2023–2024,Newfoundland and Labrador,05–09,Female,236.0,712.0,3.016949152542373
2023–2024,Newfoundland and Labrador,05–09,Male,314.0,1150.0,3.662420382165605
2023–2024,Newfoundland and Labrador,10–14,All,486.0,2182.0,4.489711934156379
2023–2024,Newfoundland and Labrador,10–14,Female,227.0,835.0,3.6784140969163
2023–2024,Newfoundland and Labrador,10–14,Male,259.0,1347.0,5.2007722007722
2023–2024,Newfoundland and Labrador,15–19,All,705.0,3225.0,4.574468085106383
2023–2024,Newfoundland and Labrador,15–19,Female,427.0,1674.0,3.920374707259953
2023–2024,Newfoundland and Labrador,15–19,Male,277.0,1550.0,5.595667870036101
2023–2024,Newfoundland and Labrador,20–24,All,1122.0,5433.0,4.842245989304812
2023–2024,Newfoundland and Labrador,20–24,Female,854.0,3936.0,4.608899297423887
2023–2024,Newfoundland and Labrador,20–24,Male,263.0,1487.0,5.653992395437262
2023–2024,Newfoundland and Labrador,25–29,All,1747.0,7561.0,4.327990841442473
2023–2024,Newfoundland and Labrador,25–29,Female,1457.0,5584.0,3.832532601235415
2023–2024,Newfoundland and Labrador,25–29,Male,289.0,1976.0,6.837370242214533
2023–2024,Newfoundland and Labrador,30–34,All,2264.0,9766.0,4.313604240282685
2023–2024,Newfoundland and Labrador,30–34,Female,1867.0,6555.0,3.510980182110337
2023–2024,Newfoundland and Labrador,30–34,Male,396.0,3210.0,8.106060606060606
2023–2024,Newfoundland and Labrador,35–39,All,1725.0,9418.0,5.459710144927536
2023–2024,Newfoundland and Labrador,35–39,Female,1247.0,5302.0,4.251804330392943
2023–2024,Newfoundland and Labrador,35–39,Male,478.0,4116.0,8.610878661087867
2023–2024,Newfoundland and Labrador,40–44,All,1444.0,9107.0,6.306786703601108
2023–2024,Newfoundland and Labrador,40–44,Female,866.0,4968.0,5.736720554272518
2023–2024,Newfoundland and Labrador,40–44,Male,577.0,4137.0,7.169844020797227
2023–2024,Newfoundland and Labrador,45–49,All,1658.0,13381.0,8.070566948130278
2023–2024,Newfoundland and Labrador,45–49,Female,914.0,6996.0,7.654266958424508
2023–2024,Newfoundland and Labrador,45–49,Male,744.0,6385.0,8.581989247311828
2023–2024,Newfoundland and Labrador,50–54,All,2207.0,16831.0,7.626189397371999
2023–2024,Newfoundland and Labrador,50–54,Female,1086.0,7255.0,6.680478821362799
2023–2024,Newfoundland and Labrador,50–54,Male,1121.0,9576.0,8.542372881355933
2023–2024,Newfoundland and Labrador,55–59,All,3163.0,23525.0,7.43755927916535
2023–2024,Newfoundland and Labrador,55–59,Female,1508.0,10646.0,7.059681697612732
2023–2024,Newfoundland and Labrador,55–59,Male,1655.0,12879.0,7.781873111782478
2023–2024,Newfoundland and Labrador,60–64,All,4203.0,35403.0,8.42326909350464
